POLITICS TEST
2017-11-18 15:07:37
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 491,742 | 71 | 1K | 352 | 110K | Nov 1, 2017

2 | 154,774 | 441 | 7K | 425 | 127K | Oct 31, 2017

3 | 133,386 | 2,131 | 4K | 115 | 91K | Oct 31, 2017

4 | 169,826 | 761 | 796 | 435 | 274K | Oct 30, 2017

5 | 97,584 | 45 | 491 | 163 | 151K | Nov 1, 2017

6 |  No comments available  |
7 | 175,708 | 77 | 1K | 199 | 110K | Nov 5, 2017

8 |  No comments available  |
9 | 62,896 | 163 | 676 | 187 | 12M | Oct 31, 2017

10 | 58,166 | 86 | 2K | 15 | 452K | Oct 30, 2017

11 | 71,756 | 466 | 1K | 55 | 238K | Oct 31, 2017

12 | 83,061 | 67 | 560 | 49 | 196K | Nov 3, 2017

13 | 56,508 | 2 | 366 | 49 | 730K | Oct 31, 2017

14 |  No comments available  |
15 | 50,967 | 575 | 2K | 74 | 160K |  on Nov 3, 2017

16 | 35,897 | 951 | 1K | 87 | 160K | Nov 2, 2017

17 | 87,415 | 24 | 235 | 54 |  | Oct 28, 2017

18 | 36,007 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,528 | 2 | 23 | 16 | 110K | Nov 1, 2017

20 | 65,293 | 570 | 2K | 77 | 160K | Nov 3, 2017

21 | 32,011 | 104 | 660 | 38 | 10K | Nov 1, 2017

22 | 22,218 | 402 | 1K | 10 | 506K | Oct 31, 2017

23 | 23,708 | 184 | 160 | 15 | 29K | Nov 1, 2017

24 | 30,970 | 50 | 98 | 27 | 1M | Nov 2, 2017

25 | 29,925 | 243 | 658 | 106 | 133K | Nov 1, 2017

26 | 20,561 | 22 | 125 | 22 | 51K | Oct 30, 2017

27 | 18,889 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 20,000 | 25 | 101 | 49 | 110K | Nov 2, 2017

29 | 17,550 | 336 | 871 | 37 | 160K |  on Oct 30, 2017

30 | 20,442 | 290 | 1K | 19 | 160K | Nov 3, 2017

31 | 18,080 | 160 | 122 | 7 | 3.6K | Oct 29, 2017

32 | 20,320 | 248 | 408 | 122 | 133K | Oct 31, 2017

33 | 17,394 | 10 | 271 | 17 | 110K | Nov 3, 2017

34 | 25,056 | 79 | 1K | 103 | 320K | Nov 1, 2017

35 | 18,491 | 191 | 1K | 33 | 575K | Oct 31, 2017

36 | 18,153 | 193 | 817 | 61 | 3.4M | Nov 2, 2017

37 |  No comments available  |
38 | 17,878 | 227 | 587 | 71 | 160K | Nov 3, 2017

39 | 16,462 | 25 | 52 | 12 | 442K | Nov 1, 2017

40 | 15,206 | 16 | 293 | 6 | 3.8K |  on Oct 30, 2017

41 | 15,297 | 199 | 665 | 37 | 160K | Nov 2, 2017

42 | 15,209 | 45 | 137 | 20 | 20K | Oct 30, 2017

43 | 26,971 | 227 | 370 | 6 | 17K | Nov 2, 2017

44 | 16,108 | 60 | 73 | 16 | 175K | Nov 1, 2017

45 | 14,081 | 107 | Sign up | 197 |  | Nov 2, 2017

46 | 25,109 | 48 | 410 | 7 | 25K | Nov 1, 2017

47 | 13,190 | 18 | 32 | 7 | 175K | Oct 31, 2017

48 | 20,373 | 295 | 750 | 22 | 152K | Nov 3, 2017

49 | 12,595 | 2 | 37 | 12 | 20K | Oct 29, 2017

50 | 13,230 | 9 | 58 | 8 | 20K | Oct 30, 2017

51 |  No comments available  |
