POLITICS TEST
2017-11-18 01:32:56
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 490,545 | 71 | Try Today | 1K |  | Nov 1, 2017

2 | 154,191 | 441 | 7K | 424 | 126K | Oct 31, 2017

3 | 133,324 | 2,129 | 4K | 115 | 91K | Oct 31, 2017

4 | 168,394 | 760 | 795 | 430 | 273K | Oct 30, 2017

5 | 97,484 | 45 | 490 | 163 | 151K | Nov 1, 2017

6 | 90,944 | 107 | 1K | 137 | 50K | Nov 2, 2017

7 | 175,183 | 77 | 1K | 199 | 110K | Nov 5, 2017

8 | 62,251 | 1,133 | 2K | 177 | 160K |  on Nov 2, 2017

9 | 62,820 | 163 | 676 | 187 | 12M | Oct 31, 2017

10 | 57,814 | 86 | 2K | 15 | 450K | Oct 30, 2017

11 | 71,475 | 466 | 1K | 55 | 238K | Oct 31, 2017

12 | 82,786 | 67 | 557 | 49 | 196K | Nov 3, 2017

13 | 56,303 | 2 | 363 | 49 | 730K | Oct 31, 2017

14 |  No comments available  |
15 | 50,941 | 575 | 2K | 74 | 160K |  on Nov 3, 2017

16 | 35,885 | 951 | 1K | 87 | 160K | Nov 2, 2017

17 | 83,721 | 24 | 221 | 54 |  | Oct 28, 2017

18 | 35,988 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,528 | 2 | 23 | 16 | 110K | Nov 1, 2017

20 | 65,194 | 569 | 2K | 77 | 160K | Nov 3, 2017

21 | 31,831 | 104 | It's free! | 660 |  | Nov 1, 2017

22 | 22,211 | 402 | 1K | 10 | 506K | Oct 31, 2017

23 | 23,703 | 184 | 160 | 15 | 29K | Nov 1, 2017

24 | 30,543 | 50 | 96 | 26 | 1M | Nov 2, 2017

25 |  No comments available  |
26 | 20,535 | 22 | 124 | 22 | 50K | Oct 30, 2017

27 | 18,886 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 19,989 | 25 | 101 | 49 | 110K | Nov 2, 2017

29 | 17,547 | 336 | 871 | 37 | 160K |  on Oct 30, 2017

30 | 20,432 | 289 | 1K | 19 | 160K | Nov 3, 2017

31 | 18,045 | 160 | 121 | 7 | 3.5K | Oct 29, 2017

32 | 20,249 | 248 | 407 | 121 | 132K | Oct 31, 2017

33 | 17,394 | 10 | 271 | 17 | 110K | Nov 3, 2017

34 | 24,858 | 78 | 1K | 101 | 319K | Nov 1, 2017

35 | 18,477 | 191 | 1K | 33 | 575K | Oct 31, 2017

36 | 18,152 | 193 | 816 | 61 | 3.4M | Nov 2, 2017

37 | 16,927 | 212 | 1K | 22 | 160K |  on Nov 2, 2017

38 | 17,871 | 227 | 587 | 71 | 160K | Nov 3, 2017

39 | 16,446 | 25 | 52 | 12 | 441K | Nov 1, 2017

40 | 15,206 | 16 | 293 | 6 | 3.7K |  on Oct 30, 2017

41 | 15,294 | 199 | 665 | 37 | 160K | Nov 2, 2017

42 | 15,202 | 45 | 137 | 20 | 20K | Oct 30, 2017

43 | 26,922 | 227 | It's free! | 370 |  | Nov 2, 2017

44 | 16,091 | 60 | 72 | 16 | 175K | Nov 1, 2017

45 | 14,074 | 107 | 197 | 21 | 737K | Nov 2, 2017

46 | 24,825 | 48 | 408 | 7 | 25K | Nov 1, 2017

47 | 13,183 | 18 | 32 | 7 | 175K | Oct 31, 2017

48 |  No comments available  |
49 | 12,582 | 2 | 37 | 12 | 20K | Oct 29, 2017

50 | 13,222 | 9 | 58 | 8 | 20K | Oct 30, 2017

51 |  No comments available  |
