TECHNOLOGY TEST
2017-11-18 15:26:55
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 732,830 | 1,326 | 5K | 574 | 29K | Nov 2, 2017

2 | 429,247 | 1,213 | 5K | 1K | 53K | Nov 2, 2017

3 | 154,964 | 204 | 3K | 396 | 411K | Nov 1, 2017

4 | 162,660 | 363 | 7K | 117 | 2.8M | Nov 4, 2017

5 | 221,617 | 83 | 979 | 134 |  | Nov 1, 2017

6 | 81,508 | 359 | 6K | 27 | 2M | Nov 3, 2017

7 | 73,365 | 935 | 1K | 26 | 454K | Nov 2, 2017

8 | 70,462 | 183 | 1K | 336 | 411K | Oct 28, 2017

9 | 116,844 | 78 | 965 | 69 | 42K | Oct 29, 2017

10 |  No comments available  |
11 | 42,094 | 1,092 | 1K | 113 | 63K | Oct 29, 2017

12 | 36,702 | 14 | 116 | 5 | 4 | Oct 31, 2017

13 | 39,037 | 164 | 1K | 39 | 691K |  on Oct 31, 2017

14 | 44,656 | 169 | 608 | 56 | 63K | Oct 29, 2017

15 | 41,446 | 60 | 709 | 35 | 367K | Oct 31, 2017

16 | 35,144 | 7 | 210 | 11 | 97K | Nov 1, 2017

17 | 61,775 | 121 | 739 | 111 | 81K | Nov 2, 2017

18 | 57,090 | 753 | 2K | 83 | 110K | Nov 1, 2017

19 | 32,469 | 0 | 350 | 28 | 26K | Oct 30, 2017

20 | 39,193 | 2 | 131 | 24 |  | Oct 30, 2017

21 | 43,709 | 125 | 1K | 73 | 363K | Nov 1, 2017

22 | 35,425 | 44 | 181 | 29 | 34K | Nov 2, 2017

23 | 49,598 | 60 | 1K | 24 | 363K | Oct 31, 2017

24 | 25,233 | 25 | 201 | 32 | 26K | Oct 29, 2017

25 | 24,099 | 33 | 487 | 20 |  | Oct 29, 2017

26 | 74,948 | 13 | 128 | 1 | 118K | Nov 1, 2017

27 | 21,782 | 136 | 1K | 38 | 158K | Nov 1, 2017

28 | 23,414 | 120 | 1K | 116 | 411K | Nov 4, 2017

29 | 35,960 | 4 | 82 | 48 |  | Oct 30, 2017

30 | 79,129 | 53 | 268 | 34 | 59K | Nov 3, 2017

31 | 19,677 | 6 | 68 | 21 | 237K | Nov 1, 2017

32 | 46,740 | 37 | 161 | 57 | 143K | Nov 4, 2017

33 | 18,643 | 34 | 369 | 30 | 81K | Oct 30, 2017

34 | 38,902 | 5 | 120 | 20 |  | Nov 4, 2017

35 | 16,352 | 70 | 173 | 27 | 545K | Oct 30, 2017

36 | 16,563 | 470 | 751 | 31 | 63K | Oct 31, 2017

37 | 22,625 |  No comments available  |1K | 38 | 9.1K | Oct 29, 2017

38 |  No comments available  |
39 | 17,281 | 0 | 478 | 23 | 25K | Oct 30, 2017

40 | 14,396 | 52 | 280 | 4 | 15K |  on Nov 1, 2017

41 | 16,964 | 120 | 650 | 43 | 127K | Nov 3, 2017

42 | 27,513 | 2 | It's free! | 96 |  | Nov 1, 2017

43 |  No comments available  |
44 | 31,919 |  No comments available  |5 | 8 | 19K | Oct 29, 2017

45 | 14,986 | 143 | 718 | 19 | 4.6M | Nov 1, 2017

46 | 11,793 | 78 | 255 | 11 | 57K | Oct 29, 2017

47 | 11,577 | 31 | 49 | 18 | 36K | Oct 29, 2017

48 | 11,354 | 210 | 562 | 17 | 63K | Oct 29, 2017

49 | 47,309 | 0 | 57 | 21 | 35K | Oct 29, 2017

50 | 13,318 | 22 | 120 | 6 | 44K | Nov 1, 2017

51 | 15,352 | 23 | 151 | 70 | 545K | Nov 3, 2017

