TECHNOLOGY TEST
2017-11-11 02:04:16
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 506,021 | 1,096 | 4K | 430 | 25K | Nov 2, 2017

2 | 336,388 | 1,008 | 4K | 1K | 46K | Nov 2, 2017

3 | 143,908 | 202 | 3K | 386 | 379K | Nov 1, 2017

4 | 157,670 | 360 | 7K | 116 | 2.7M | Nov 4, 2017

5 | 176,802 | 61 | 795 | 112 |  | Nov 1, 2017

6 | 77,458 | 355 | 6K | 26 | 2M | Nov 3, 2017

7 | 68,524 | 933 | 1K | 25 | 447K | Nov 2, 2017

8 | 62,109 | 171 | 1K | 309 | 379K | Oct 28, 2017

9 | 71,615 | 66 | Adopt Now | 780 |  | Oct 29, 2017

10 | 69,482 | 77 | 346 | 46 |  | Nov 1, 2017

11 | 41,381 | 1,093 | 1K | 112 | 59K | Oct 29, 2017

12 | 36,611 | 12 | 115 | 5 | 4 | Oct 31, 2017

13 | 38,384 | 165 | 1K | 38 | 687K |  on Oct 31, 2017

14 | 40,024 | 168 | 585 | 52 | 62K | Oct 29, 2017

15 | 38,516 | 56 | 659 | 34 | 356K | Oct 31, 2017

16 | 34,197 | 6 | 205 | 11 | 93K | Nov 1, 2017

17 | 44,758 | 116 | 642 | 94 | 79K | Nov 2, 2017

18 | 40,690 | 654 | 2K | 61 | 107K | Nov 1, 2017

19 | 31,845 | 0 | 351 | 28 | 25K | Oct 30, 2017

20 | 35,097 | 2 | 126 | 20 |  | Oct 30, 2017

21 | 37,691 | 112 | 974 | 66 | 353K | Nov 1, 2017

22 |  No comments available  |
23 | 38,590 | 53 | 1K | 19 | 353K | Oct 31, 2017

24 | 24,653 | 25 | 195 | 32 | 25K | Oct 29, 2017

25 | 22,599 | 32 | 471 | 19 |  | Oct 29, 2017

26 | 48,096 | 13 | 125 | 1 | 117K | Nov 1, 2017

27 | 21,153 | 133 | 1K | 38 | 147K | Nov 1, 2017

28 | 21,704 | 117 | 980 | 111 | 379K | Nov 4, 2017

29 | 29,438 | 4 | 68 | 37 |  | Oct 30, 2017

30 | 46,165 | 41 | 186 | 17 | 56K | Nov 3, 2017

31 | 19,084 | 6 | 68 | 20 | 228K | Nov 1, 2017

32 | 34,451 | 34 | 128 | 49 | 138K | Nov 4, 2017

33 | 17,467 | 31 | 354 | 29 | 79K | Oct 30, 2017

34 | 25,507 | 4 | 83 | 14 |  | Nov 4, 2017

35 |  No comments available  |
36 |  No comments available  |
37 | 17,752 |  No comments available  |976 | 28 | 8.2K | Oct 29, 2017

38 | 9 watchi |  No comments available  |Hide chat | 382 |  | ming on Nov 3, 2017

39 | 16,257 | 0 | 466 | 22 | 25K | Oct 30, 2017

40 | 14,284 | 52 | 280 | 4 | 14K |  on Nov 1, 2017

41 | 16,069 | 117 | 635 | 43 | 126K | Nov 3, 2017

42 | 17,072 |  | 84 | 25 |  | Nov 1, 2017

43 | 13,117 | 364 | 609 | 29 | 245K | Oct 31, 2017

44 | 28,316 |  No comments available  |5 | 7 | 19K | Oct 29, 2017

45 | 14,046 | 140 | 695 | 18 | 4.6M | Nov 1, 2017

46 | 11,379 | 78 | 255 | 11 | 50K | Oct 29, 2017

47 | 11,251 | 30 | 49 | 18 | 36K | Oct 29, 2017

48 | 11,162 | 210 | 555 | 17 | 59K | Oct 29, 2017

49 | 26,413 | 0 | 45 | 14 | 35K | Oct 29, 2017

50 | 12,748 | 21 | 117 | 5 | 44K | Nov 1, 2017

51 | 14,415 | 20 | 149 | 70 | 542K | Nov 3, 2017

