TECHNOLOGY TEST
2017-11-11 23:22:32
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 545,506 | 1,131 | 4K | 449 | 25K | Nov 2, 2017

2 | 362,520 | 1,071 | 5K | 1K | 47K | Nov 2, 2017

3 | 146,072 | 203 | 3K | 388 | 386K | Nov 1, 2017

4 | 158,872 | 360 | 7K | 116 | 2.7M | Nov 4, 2017

5 | 177,756 | 62 | 800 | 112 |  | Nov 1, 2017

6 | 78,560 | 355 | 6K | 26 | 2M | Nov 3, 2017

7 | 69,732 | 934 | 1K | 26 | 448K | Nov 2, 2017

8 |  No comments available  |
9 | 79,020 | 68 | 811 | 49 | 41K | Oct 29, 2017

10 |  No comments available  |
11 | 41,490 | 1,089 | 1K | 112 | 59K | Oct 29, 2017

12 | 36,624 | 12 | 115 | 5 | 4 | Oct 31, 2017

13 | 38,472 | 166 | 1K | 39 | 688K |  on Oct 31, 2017

14 | 40,735 | 168 | 590 | 53 | 62K | Oct 29, 2017

15 | 39,225 | 57 | 671 | 34 | 358K | Oct 31, 2017

16 | 34,329 | 6 | 205 | 11 | 93K | Nov 1, 2017

17 | 47,516 | 117 | 662 | 94 | 79K | Nov 2, 2017

18 | 44,068 | 678 | 2K | 67 | 107K | Nov 1, 2017

19 | 31,939 | 0 | 350 | 28 | 25K | Oct 30, 2017

20 | 35,985 | 2 | 127 | 21 |  | Oct 30, 2017

21 | 38,479 | 113 | 989 | 68 | 354K | Nov 1, 2017

22 | 31,559 | 40 | 164 | 23 | 33K | Nov 2, 2017

23 | 40,428 | 53 | 1K | 19 | 354K | Oct 31, 2017

24 | 24,720 | 25 | 195 | 32 | 25K | Oct 29, 2017

25 | 22,840 | 32 | 475 | 20 |  | Oct 29, 2017

26 | 52,736 | 13 | 126 | 1 | 117K | Nov 1, 2017

27 | 21,253 | 134 | 1K | 38 | 148K | Nov 1, 2017

28 | 22,047 | 118 | 989 | 112 | 386K | Nov 4, 2017

29 | 32,077 | 4 | 72 | 42 |  | Oct 30, 2017

30 | 47,044 | 41 | 189 | 17 | 56K | Nov 3, 2017

31 | 19,183 | 6 | 68 | 20 | 228K | Nov 1, 2017

32 | 35,784 | 34 | 131 | 50 | 139K | Nov 4, 2017

33 | 17,656 | 31 | 359 | 29 | 80K | Oct 30, 2017

34 | 27,879 | 4 | 87 | 14 |  | Nov 4, 2017

35 | 16,120 | 70 | 172 | 27 | 542K | Oct 30, 2017

36 | 16,201 | 466 | 743 | 30 | 59K | Oct 31, 2017

37 | 18,521 |  No comments available  |1K | 30 | 8.3K | Oct 29, 2017

38 | 11 watchi |  No comments available  |Hide chat | 407 |  | ming on Nov 3, 2017

39 | 16,395 | 0 | 466 | 22 | 25K | Oct 30, 2017

40 | 14,311 | 52 | 280 | 4 | 14K |  on Nov 1, 2017

41 | 16,244 | 117 | 638 | 43 | 126K | Nov 3, 2017

42 | 18,406 |  | 85 | 26 |  | Nov 1, 2017

43 | 13,248 | 365 | 611 | 29 | 245K | Oct 31, 2017

44 | 29,432 |  No comments available  |5 | 8 | 19K | Oct 29, 2017

45 | 14,220 | 140 | 702 | 18 | 4.6M | Nov 1, 2017

46 | 11,447 | 78 | 256 | 11 | 50K | Oct 29, 2017

47 | 11,346 | 30 | 49 | 18 | 36K | Oct 29, 2017

48 | 11,188 | 210 | 555 | 17 | 59K | Oct 29, 2017

49 | 32,558 | 0 | 50 | 15 | 35K | Oct 29, 2017

50 | 12,819 | 21 | 117 | 5 | 44K | Nov 1, 2017

51 | 14,641 | 20 | 150 | 70 | 542K | Nov 3, 2017

