TECHNOLOGY TEST
2017-11-08 12:12:16
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 415,195 | 959 | 3K | 358 | 23K | Nov 2, 2017

2 | 280,530 | 886 | 3K | 1K | 43K | Nov 2, 2017

3 | 138,243 | 199 | 3K | 379 | 369K | Nov 1, 2017

4 | 151,050 | 347 | 6K | 112 | 2.7M | Nov 4, 2017

5 | 153,777 | 59 | 691 | 102 |  | Nov 1, 2017

6 | 73,280 | 350 | 6K | 24 | 2M | Nov 3, 2017

7 | 65,615 | 920 | Shop Now | 1K |  | Nov 2, 2017

8 | 59,148 | 166 | 1K | 302 | 369K | Oct 28, 2017

9 | 58,370 | 61 | 703 | 32 | 40K | Oct 29, 2017

10 | 63,550 | 68 | 308 | 36 |  | Nov 1, 2017

11 | 41,046 | 1,090 | Try Today | 1K |  | Oct 29, 2017

12 | 36,573 | 12 | 114 | 5 | 4 | Oct 31, 2017

13 | 37,549 | 165 | Hide chat | 1K |  |  on Oct 31, 2017

14 | 37,754 | 168 | 578 | 51 | 61K | Oct 29, 2017

15 | 36,889 | 56 | 635 | 32 | 352K | Oct 31, 2017

16 | 33,735 | 6 | 201 | 11 | 91K | Nov 1, 2017

17 | 38,463 | 110 | 603 | 87 | 79K | Nov 2, 2017

18 | 35,254 | 621 | 1K | 54 | 106K | Nov 1, 2017

19 | 31,443 | 0 | 352 | 27 | 24K | Oct 30, 2017

20 | 34,033 | 2 | 124 | 20 |  | Oct 30, 2017

21 | 34,882 | 109 | 932 | 65 | 351K | Nov 1, 2017

22 | 29,266 | 36 | 154 | 23 | 33K | Nov 2, 2017

23 | 31,714 | 46 | 886 | 18 | 351K | Oct 31, 2017

24 | 24,284 | 24 | 193 | 32 | 24K | Oct 29, 2017

25 | 21,973 | 31 | 464 | 19 |  | Oct 29, 2017

26 | 35,658 | 13 | 124 | 1 | 116K | Nov 1, 2017

27 | 20,777 | 132 | 1K | 37 | 145K | Nov 1, 2017

28 | 20,803 | 115 | 951 | 111 | 369K | Nov 4, 2017

29 | 22,716 | 4 | 51 | 30 |  | Oct 30, 2017

30 | 32,606 | 38 | 159 | 14 | 56K | Nov 3, 2017

31 | 18,675 | 6 | 68 | 19 | 223K | Nov 1, 2017

32 | 27,088 | 31 | 109 | 46 | 137K | Nov 4, 2017

33 | 16,963 | 31 | 349 | 29 | 79K | Oct 30, 2017

34 | 20,538 | 4 | 67 | 10 |  | Nov 4, 2017

35 |  No comments available  |
36 | 15,887 | 463 | 736 | 28 | 58K | Oct 31, 2017

37 | 16,598 |  No comments available  |948 | 27 | 8.2K | Oct 29, 2017

38 |  No comments available  |
39 | 15,764 | 0 | 459 | 22 | 24K | Oct 30, 2017

40 | 13,741 | 52 | Hide chat | 278 |  |  on Nov 1, 2017

41 |  No comments available  |
42 | 15,057 |  | 83 | 21 |  | Nov 1, 2017

43 | 12,681 | 362 | 608 | 29 | 244K | Oct 31, 2017

44 |  No comments available  |
45 | 13,384 | 138 | 687 | 17 | 4.6M | Nov 1, 2017

46 |  No comments available  |
47 | 11,071 | 30 | 48 | 18 | 36K | Oct 29, 2017

48 | 11,044 | 210 | 554 | 17 | 58K | Oct 29, 2017

49 | 20,956 | 0 | 40 | 14 | 35K | Oct 29, 2017

50 | 11,805 | 18 | 115 | 5 | 43K | Nov 1, 2017

51 | 13,285 | 20 | 147 | 68 | 541K | Nov 3, 2017

