TECHNOLOGY TEST
2017-11-14 19:35:09
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 640,597 | 1,226 | 4K | 514 | 27K | Nov 2, 2017

2 | 407,623 | 1,171 | 5K | 1K | 50K | Nov 2, 2017

3 | 150,834 | 203 | 3K | 393 | 398K | Nov 1, 2017

4 | 161,192 | 362 | 7K | 116 | 2.8M | Nov 4, 2017

5 | 190,325 | 63 | 858 | 117 |  | Nov 1, 2017

6 | 80,052 | 357 | 6K | 27 | 2M | Nov 3, 2017

7 | 71,715 | 934 | Shop Now | 1K |  | Nov 2, 2017

8 | 66,414 | 178 | 1K | 326 | 398K | Oct 28, 2017

9 | 98,724 | 72 | 888 | 56 | 42K | Oct 29, 2017

10 |  No comments available  |
11 | 41,707 | 1,089 | 1K | 113 | 60K | Oct 29, 2017

12 | 36,660 | 14 | 116 | 5 | 4 | Oct 31, 2017

13 | 38,818 | 166 | 1K | 39 | 689K |  on Oct 31, 2017

14 | 42,721 | 168 | 598 | 54 | 62K | Oct 29, 2017

15 | 40,221 | 58 | 691 | 34 | 362K | Oct 31, 2017

16 | 34,704 | 7 | 208 | 11 | 94K | Nov 1, 2017

17 | 54,772 | 119 | 694 | 104 | 80K | Nov 2, 2017

18 |  No comments available  |
19 | 32,191 | 0 | 349 | 28 | 25K | Oct 30, 2017

20 |  No comments available  |
21 | 41,215 | 118 | 1K | 70 | 357K | Nov 1, 2017

22 | 32,947 | 43 | 170 | 25 | 34K | Nov 2, 2017

23 | 45,142 | 54 | 1K | 23 | 357K | Oct 31, 2017

24 | 24,923 | 25 | 197 | 32 | 25K | Oct 29, 2017

25 | 23,435 | 32 | 483 | 20 |  | Oct 29, 2017

26 | 64,977 | 13 | 128 | 1 | 118K | Nov 1, 2017

27 | 21,539 | 136 | 1K | 38 | 152K | Nov 1, 2017

28 | 22,825 | 118 | 1K | 115 | 398K | Nov 4, 2017

29 | 35,860 | 4 | 82 | 48 |  | Oct 30, 2017

30 | 57,625 | 52 | 216 | 20 | 57K | Nov 3, 2017

31 | 19,405 | 6 | 68 | 21 | 231K | Nov 1, 2017

32 | 40,794 | 34 | 142 | 52 | 141K | Nov 4, 2017

33 | 18,109 | 32 | 363 | 29 | 80K | Oct 30, 2017

34 | 33,253 | 4 | 105 | 16 |  | Nov 4, 2017

35 | 16,232 | 70 | 172 | 27 | 543K | Oct 30, 2017

36 |  No comments available  |
37 | 20,102 |  No comments available  |1K | 33 | 8.6K | Oct 29, 2017

38 | 59,875 | 0 | 449 | 79 |  |  on Nov 3, 2017

39 | 16,798 | 0 | 470 | 22 | 25K | Oct 30, 2017

40 | 14,357 | 52 | 280 | 4 | 14K |  on Nov 1, 2017

41 | 16,557 | 118 | 644 | 43 | 126K | Nov 3, 2017

42 | 22,846 | 2 | 92 | 32 |  | Nov 1, 2017

43 | 13,574 | 366 | 616 | 29 | 246K | Oct 31, 2017

44 |  No comments available  |
45 | 14,595 | 142 | 711 | 18 | 4.6M | Nov 1, 2017

46 | 11,741 | 78 | 256 | 11 | 52K | Oct 29, 2017

47 | 11,479 | 31 | Pre-order | 49 |  | Oct 29, 2017

48 | 11,258 | 210 | 558 | 17 | 60K | Oct 29, 2017

49 | 45,308 | 0 | 58 | 21 | 35K | Oct 29, 2017

50 | 13,025 | 21 | 119 | 5 | 44K | Nov 1, 2017

51 | 15,142 | 23 | 151 | 70 | 543K | Nov 3, 2017

