TECHNOLOGY TEST
2017-11-19 14:31:52
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 756,206 | 1,348 | 5K | 602 | 30K | Nov 2, 2017

2 | 433,385 | 1,220 | 5K | 1K | 53K | Nov 2, 2017

3 | 156,535 | 204 | 3K | 397 | 415K | Nov 1, 2017

4 | 162,989 | 363 | 7K | 118 | 2.8M | Nov 4, 2017

5 | 233,090 | 90 | 1K | 136 |  | Nov 1, 2017

6 | 81,843 | 359 | 6K | 27 | 2M | Nov 3, 2017

7 | 73,940 | 938 | 1K | 26 | 454K | Nov 2, 2017

8 | 72,047 | 183 | 1K | 339 | 415K | Oct 28, 2017

9 | 121,778 | 81 | 991 | 70 | 43K | Oct 29, 2017

10 |  No comments available  |
11 | 42,195 | 1,092 | 1K | 113 | 64K | Oct 29, 2017

12 | 36,716 | 14 | 116 | 5 | 4 | Oct 31, 2017

13 | 39,084 | 164 | 1K | 39 | 691K |  on Oct 31, 2017

14 | 45,162 | 169 | 614 | 56 | 63K | Oct 29, 2017

15 | 41,745 | 59 | 712 | 35 | 369K | Oct 31, 2017

16 | 35,227 | 7 | 210 | 11 | 98K | Nov 1, 2017

17 | 64,234 | 121 | 757 | 114 | 81K | Nov 2, 2017

18 | 57,810 | 756 | 2K | 84 | 110K | Nov 1, 2017

19 | 32,530 | 0 | 350 | 28 | 26K | Oct 30, 2017

20 | 39,473 | 2 | 130 | 25 |  | Oct 30, 2017

21 | 44,372 | 124 | 1K | 74 | 364K | Nov 1, 2017

22 |  No comments available  |
23 | 50,859 | 61 | 1K | 26 | 364K | Oct 31, 2017

24 | 25,297 | 25 | Adopt Now | 201 |  | Oct 29, 2017

25 | 24,258 | 33 | 489 | 20 |  | Oct 29, 2017

26 | 75,747 | 13 | 128 | 1 | 118K | Nov 1, 2017

27 | 21,822 | 136 | 1K | 38 | 159K | Nov 1, 2017

28 | 23,575 | 120 | 1K | 116 | 415K | Nov 4, 2017

29 | 35,974 | 4 | 82 | 48 |  | Oct 30, 2017

30 | 84,520 | 53 | 287 | 36 | 59K | Nov 3, 2017

31 | 19,756 | 6 | 68 | 21 | 238K | Nov 1, 2017

32 | 47,668 | 38 | 163 | 57 | 144K | Nov 4, 2017

33 | 18,827 | 34 | 372 | 31 | 81K | Oct 30, 2017

34 | 40,065 | 5 | 121 | 20 |  | Nov 4, 2017

35 | 16,367 | 70 | 175 | 27 | 545K | Oct 30, 2017

36 | 16,641 | 470 | 753 | 31 | 64K | Oct 31, 2017

37 | 23,011 |  No comments available  |1K | 38 | 9.2K | Oct 29, 2017

38 |  No comments available  |
39 | 17,397 | 0 | Try Today | 479 |  | Oct 30, 2017

40 | 14,403 | 52 | 280 | 4 | 15K |  on Nov 1, 2017

41 | 17,035 | 120 | 649 | 43 | 127K | Nov 3, 2017

42 | 28,180 | 2 | 98 | 35 |  | Nov 1, 2017

43 |  No comments available  |
44 | 32,082 |  No comments available  |5 | 8 | 19K | Oct 29, 2017

45 | 15,069 | 143 | 721 | 19 | 4.6M | Nov 1, 2017

46 | 11,799 | 78 | 255 | 11 | 58K | Oct 29, 2017

47 | 11,602 | 31 | Donate Now | 49 |  | Oct 29, 2017

48 | 11,373 | 210 | 562 | 17 | 64K | Oct 29, 2017

49 | 47,569 | 0 | 57 | 21 | 35K | Oct 29, 2017

50 | 13,390 | 22 | 120 | 6 | 44K | Nov 1, 2017

51 | 15,374 | 23 | 151 | 70 | 545K | Nov 3, 2017

