TECHNOLOGY TEST
2017-11-16 16:08:27
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 691,704 | 1,274 | 5K | 544 | 28K | Nov 2, 2017

2 | 420,303 | 1,195 | 5K | 1K | 51K | Nov 2, 2017

3 | 152,672 | 204 | 3K | 394 | 403K | Nov 1, 2017

4 | 162,003 | 362 | 7K | 116 | 2.8M | Nov 4, 2017

5 | 203,422 | 66 | 902 | 123 |  | Nov 1, 2017

6 | 80,706 | 358 | 6K | 27 | 2M | Nov 3, 2017

7 | 72,465 | 934 | Shop Now | 1K |  | Nov 2, 2017

8 | 67,720 |  No comments available  |1K | 329 | 403K | Oct 28, 2017

9 | 108,428 | 75 | 925 | 60 | 42K | Oct 29, 2017

10 |  No comments available  |
11 | 41,867 | 1,091 | 1K | 113 | 61K | Oct 29, 2017

12 | 36,683 | 14 | 116 | 5 | 4 | Oct 31, 2017

13 | 38,958 | 163 | 1K | 39 | 690K |  on Oct 31, 2017

14 | 43,685 | 169 | 602 | 54 | 63K | Oct 29, 2017

15 |  No comments available  |
16 | 34,849 | 7 | 210 | 11 | 95K | Nov 1, 2017

17 | 58,192 | 120 | 717 | 107 | 81K | Nov 2, 2017

18 |  No comments available  |
19 | 32,349 | 0 | 351 | 28 | 25K | Oct 30, 2017

20 | 38,692 | 2 | 130 | 24 |  | Oct 30, 2017

21 | 42,624 | 124 | 1K | 71 | 360K | Nov 1, 2017

22 | 34,158 | 44 | 175 | 28 | 34K | Nov 2, 2017

23 | 47,498 | 58 | 1K | 23 | 360K | Oct 31, 2017

24 | 25,080 | 25 | 199 | 32 | 26K | Oct 29, 2017

25 | 23,678 | 32 | 484 | 20 |  | Oct 29, 2017

26 | 70,008 | 13 | 128 | 1 | 118K | Nov 1, 2017

27 | 21,654 | 136 | 1K | 38 | 155K | Nov 1, 2017

28 | 23,113 | 119 | 1K | 116 | 403K | Nov 4, 2017

29 | 35,910 | 4 | 82 | 48 |  | Oct 30, 2017

30 | 68,671 | 53 | 242 | 27 | 58K | Nov 3, 2017

31 | 19,533 | 6 | 68 | 21 | 234K | Nov 1, 2017

32 | 44,324 | 35 | 153 | 55 | 142K | Nov 4, 2017

33 | 18,335 | 32 | 365 | 29 | 81K | Oct 30, 2017

34 | 36,279 | 5 | 113 | 19 |  | Nov 4, 2017

35 | 16,288 | 70 | 171 | 27 | 544K | Oct 30, 2017

36 | 16,447 | 468 | 749 | 30 | 61K | Oct 31, 2017

37 | 21,766 |  No comments available  |1K | 37 | 8.8K | Oct 29, 2017

38 | 60,463 |  No comments available  |450 | 79 |  |  on Nov 3, 2017

39 |  No comments available  |
40 | 14,379 | 52 | 280 | 4 | 14K |  on Nov 1, 2017

41 | 16,809 | 120 | 647 | 43 | 127K | Nov 3, 2017

42 | 25,518 | 2 | 94 | 34 |  | Nov 1, 2017

43 |  No comments available  |
44 | 31,480 |  No comments available  |5 | 8 | 19K | Oct 29, 2017

45 | 14,789 | 143 | 717 | 19 | 4.6M | Nov 1, 2017

46 | 11,775 | 78 | 255 | 11 | 54K | Oct 29, 2017

47 | 11,534 | 31 | 49 | 18 | 36K | Oct 29, 2017

48 | 11,303 | 210 | 560 | 17 | 61K | Oct 29, 2017

49 | 46,551 | 0 | 58 | 21 | 35K | Oct 29, 2017

50 | 13,165 | 21 | 120 | 5 | 44K | Nov 1, 2017

51 | 15,239 | 23 | 151 | 70 | 544K | Nov 3, 2017

